,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
511,1987,3,minardi,0.0,0.0,13.0
512,1987,4,mclaren,31.0,2.0,1.0
513,1987,4,williams,16.0,1.0,2.0
514,1987,4,team_lotus,9.0,0.0,3.0
515,1987,4,ferrari,7.0,0.0,4.0
516,1987,4,brabham,4.0,0.0,5.0
517,1987,4,arrows,3.0,0.0,6.0
518,1987,4,zakspeed,2.0,0.0,7.0
519,1987,4,tyrrell,0.0,0.0,10.0
520,1987,4,benetton,2.0,0.0,8.0
521,1987,4,ligier,1.0,0.0,9.0
522,1987,4,march,0.0,0.0,14.0
523,1987,4,larrousse,0.0,0.0,11.0
524,1987,4,ags,0.0,0.0,12.0
525,1987,4,osella,0.0,0.0,13.0
526,1987,4,minardi,0.0,0.0,15.0
527,1987,5,mclaren,31.0,2.0,1.0
528,1987,5,williams,22.0,1.0,2.0
529,1987,5,team_lotus,18.0,1.0,3.0
530,1987,5,ferrari,14.0,0.0,4.0
531,1987,5,brabham,4.0,0.0,5.0
532,1987,5,arrows,3.0,0.0,6.0
533,1987,5,zakspeed,2.0,0.0,7.0
534,1987,5,tyrrell,2.0,0.0,8.0
535,1987,5,benetton,2.0,0.0,9.0
536,1987,5,ligier,1.0,0.0,10.0
537,1987,5,march,1.0,0.0,11.0
538,1987,5,larrousse,0.0,0.0,12.0
539,1987,5,ags,0.0,0.0,13.0
540,1987,5,osella,0.0,0.0,14.0
541,1987,5,minardi,0.0,0.0,15.0
542,1987,6,williams,30.0,1.0,2.0
543,1987,6,mclaren,35.0,2.0,1.0
544,1987,6,team_lotus,27.0,2.0,3.0
545,1987,6,ferrari,17.0,0.0,4.0
546,1987,6,brabham,4.0,0.0,5.0
547,1987,6,arrows,4.0,0.0,6.0
548,1987,6,benetton,2.0,0.0,9.0
549,1987,6,tyrrell,2.0,0.0,8.0
550,1987,6,zakspeed,2.0,0.0,7.0
551,1987,6,ligier,1.0,0.0,10.0
552,1987,6,march,1.0,0.0,11.0
553,1987,6,larrousse,0.0,0.0,12.0
554,1987,6,ags,0.0,0.0,13.0
555,1987,6,osella,0.0,0.0,14.0
556,1987,6,minardi,0.0,0.0,15.0
557,1987,7,williams,45.0,2.0,1.0
558,1987,7,mclaren,39.0,2.0,2.0
559,1987,7,team_lotus,30.0,2.0,3.0
560,1987,7,ferrari,17.0,0.0,4.0
561,1987,7,arrows,4.0,0.0,6.0
562,1987,7,benetton,4.0,0.0,7.0
563,1987,7,brabham,4.0,0.0,5.0
564,1987,7,tyrrell,3.0,0.0,8.0
565,1987,7,zakspeed,2.0,0.0,9.0
566,1987,7,ligier,1.0,0.0,10.0
567,1987,7,march,1.0,0.0,11.0
568,1987,7,larrousse,0.0,0.0,12.0
569,1987,7,ags,0.0,0.0,13.0
570,1987,7,osella,0.0,0.0,14.0
571,1987,7,minardi,0.0,0.0,15.0
572,1987,8,williams,60.0,3.0,1.0
573,1987,8,mclaren,39.0,2.0,2.0
574,1987,8,team_lotus,37.0,2.0,3.0
575,1987,8,ferrari,17.0,0.0,4.0
576,1987,8,tyrrell,3.0,0.0,8.0
577,1987,8,arrows,6.0,0.0,5.0
578,1987,8,benetton,5.0,0.0,6.0
579,1987,8,brabham,4.0,0.0,7.0
580,1987,8,zakspeed,2.0,0.0,9.0
581,1987,8,ligier,1.0,0.0,10.0
582,1987,8,larrousse,0.0,0.0,12.0
583,1987,8,march,1.0,0.0,11.0
584,1987,8,ags,0.0,0.0,13.0
585,1987,8,osella,0.0,0.0,14.0
586,1987,8,minardi,0.0,0.0,15.0
587,1987,9,williams,69.0,4.0,1.0
588,1987,9,mclaren,45.0,2.0,2.0
589,1987,9,team_lotus,41.0,2.0,3.0
590,1987,9,ferrari,17.0,0.0,4.0
591,1987,9,tyrrell,8.0,0.0,5.0
